Time (s),X,Y
8.65,84.27000000000001,41.6
8.77,84.8,42.13
8.87,85.33,42.13
8.99,86.4,42.67
9.09,88,43.730000000000004
9.2,88.53,44.269999999999996
9.31,90.67,45.33
9.42,92.27000000000001,45.87
9.53,93.33,45.87
9.65,95.47,46.4
9.75,97.07000000000001,46.93
9.86,99.2,46.93
9.97,101.87,47.47
10.08,103.47,47.47
10.19,106.13,48
10.31,108.8,48
10.41,109.87,48
10.52,112,47.47
10.63,114.13,46.93
10.74,114.67,46.4
10.85,116.8,45.33
10.96,118.4,44.8
11.07,119.47,43.730000000000004
11.18,121.07000000000001,43.2
11.29,121.6,42.67
11.4,123.2,42.67
11.51,124.8,42.13
11.62,125.33,42.67
11.73,126.92999999999999,43.730000000000004
11.84,128.53,44.8
11.95,129.6,45.87
12.06,131.73,48
12.17,133.32999999999998,50.13
12.28,133.32999999999998,50.67
12.39,133.87,52.8
12.5,133.32999999999998,54.4
12.61,132.8,55.470000000000006
12.72,131.73,57.6
12.84,130.13,59.2
12.95,129.6,59.73
13.06,127.47,60.8
13.17,125.33,61.870000000000005
13.28,123.72999999999999,62.92999999999999
13.4,122.13,64
13.51,120.53,65.07000000000001
13.62,119.47,65.6
13.73,117.87,67.2
13.83,116.27000000000001,68.27000000000001
13.94,115.2,68.8
14.05,114.13,69.33
14.16,113.6,69.87
14.27,112,69.87
14.38,110.92999999999999,70.4
14.48,109.87,70.4
14.59,109.33,70.92999999999999
14.7,108.8,70.92999999999999
14.8,107.72999999999999,70.92999999999999
14.91,106.67,70.92999999999999
15.02,106.13,70.92999999999999
15.13,105.6,70.92999999999999
15.24,104.53,70.92999999999999
15.34,104.53,70.4
15.45,104,70.4
15.56,103.47,70.4
15.67,102.92999999999999,69.87
15.78,102.92999999999999,69.87
15.89,102.4,69.87
16,102.4,69.33
16.11,101.87,69.33
16.22,101.87,69.33
16.33,101.33,68.8
16.45,101.33,68.8
16.56,101.33,68.8
16.66,100.8,68.27000000000001
16.77,100.8,68.27000000000001
16.88,100.8,68.27000000000001
16.99,100.27000000000001,67.72999999999999
17.1,100.27000000000001,67.72999999999999
17.21,100.27000000000001,67.72999999999999
17.31,100.27000000000001,67.2
17.42,99.72999999999999,67.2
17.52,99.72999999999999,66.67
17.63,99.72999999999999,66.67
17.74,99.2,66.67
17.85,98.67,66.13
17.95,98.67,66.13
18.06,98.67,65.6
18.17,98.13,65.07000000000001
18.28,97.6,65.07000000000001
18.39,96.53,64
18.5,95.47,63.470000000000006
18.61,94.92999999999999,62.92999999999999
18.72,93.33,61.870000000000005
18.83,92.27000000000001,61.33
18.94,91.2,60.27
19.05,90.13,58.129999999999995
19.16,89.07000000000001,57.07000000000001
19.27,88,54.92999999999999
19.37,86.92999999999999,52.8
19.49,86.4,51.73
19.6,85.33,49.07
19.71,84.27000000000001,46.4
19.82,83.2,45.33
19.93,81.6,43.2
20.04,80,40
20.15,78.92999999999999,38.4
20.26,77.87,35.2
20.38,76.27000000000001,32.53
20.49,75.2,30.93
20.6,74.13,28.27
20.7,73.07000000000001,26.130000000000003
20.81,72.53,24.53
20.92,71.47,22.4
21.02,70.92999999999999,20.8
21.13,69.87,18.130000000000003
21.24,69.87,16
21.35,69.33,14.930000000000001
21.47,69.33,13.330000000000002
21.58,69.87,12.8
21.69,69.87,12.27
21.8,70.4,12.8
21.91,70.92999999999999,12.8
22.02,72,13.330000000000002
22.13,74.13,13.87
22.23,75.2,14.930000000000001
22.34,77.87,16.53
22.45,80,18.669999999999998
22.57,81.6,19.73
22.68,84.27000000000001,21.869999999999997
22.79,87.47,24
22.91,90.67,25.07
23.02,92.27000000000001,26.130000000000003
23.13,95.47,28.27
23.24,98.13,30.4
23.35,99.72999999999999,32
23.46,102.4,34.67
23.57,104.53,37.33
23.68,106.13,38.4
23.79,109.33,40.53
23.9,110.92999999999999,41.07
24.01,113.6,43.2
24.12,116.27000000000001,45.87
24.23,117.33,46.93
24.34,119.47,49.6
24.45,121.07000000000001,51.2
24.55,122.13,52.27
24.67,123.72999999999999,53.33
24.78,125.33,53.870000000000005
24.89,126.4,53.870000000000005
24.99,128,54.4
25.1,128.53,54.4
25.21,129.6,54.4
25.32,130.67000000000002,53.870000000000005
25.42,131.2,53.870000000000005
25.54,131.73,53.33
25.66,132.27,52.8
25.77,132.27,52.8
25.87,132.8,51.73
25.98,132.8,50.67
26.09,132.8,50.13
26.21,132.8,48
26.32,132.8,46.4
26.43,132.27,45.33
26.54,131.73,44.269999999999996
26.65,131.73,42.67
26.75,131.2,41.6
26.86,130.67000000000002,41.07
26.97,130.67000000000002,40.53
27.09,129.6,39.47
27.2,129.07,38.4
27.31,128.53,37.87
27.42,128,37.33
27.52,126.92999999999999,36.8
27.64,125.87,36.269999999999996
27.75,125.87,35.730000000000004
27.86,124.8,35.2
27.97,123.72999999999999,34.67
28.08,123.72999999999999,34.67
28.19,122.67,34.67
28.3,122.67,34.67
28.41,121.6,34.67
28.51,120.53,34.13
28.62,120,34.13
28.73,118.92999999999999,34.13
28.84,118.4,34.13
28.95,117.87,34.13
29.05,116.8,34.13
29.17,115.72999999999999,34.13
29.28,115.72999999999999,34.13
29.39,114.67,34.13
29.5,114.67,34.13
29.6,113.6,34.13
29.71,113.6,34.13
29.82,112.53,34.13
29.93,112,34.13
30.04,112,34.13
30.15,110.92999999999999,34.13
30.26,110.4,34.13
30.37,109.87,34.13
30.48,109.87,34.13
30.58,109.33,34.13
30.69,108.8,34.13
30.81,108.8,34.13
30.92,108.27000000000001,34.13
31.02,107.72999999999999,34.13
31.14,107.72999999999999,34.13
31.25,107.2,34.13
31.36,106.67,34.13
31.46,106.13,34.13
31.57,106.13,34.13
31.68,105.6,34.13
31.8,105.07000000000001,34.13
31.91,105.07000000000001,34.13
32.02,104.53,34.13
32.13,104.53,34.13
32.24,104,34.13
32.34,104,34.13
32.45,103.47,34.13
32.56,103.47,34.13
32.67,102.92999999999999,34.13
32.79,102.92999999999999,34.13
32.89,102.4,34.13
33,102.4,34.13
33.11,101.87,34.13
33.22,101.87,34.13
33.34,101.87,33.6
33.45,101.33,33.6
33.56,101.33,33.6
33.66,101.33,33.6
33.77,100.8,33.6
33.87,100.8,33.6
33.98,100.27000000000001,33.6
34.09,100.27000000000001,33.6
34.21,100.27000000000001,33.6
34.31,99.72999999999999,33.6
34.42,99.72999999999999,33.6
34.53,99.72999999999999,33.6
34.64,99.2,33.6
34.75,99.2,33.6
34.85,98.67,34.13
34.96,98.13,34.13
35.06,97.6,34.13
35.18,97.07000000000001,34.13
35.29,97.07000000000001,34.13
35.4,96,34.13
35.51,95.47,34.13
35.63,95.47,34.13
35.73,94.92999999999999,34.67
35.84,94.4,34.67
35.95,93.87,34.67
36.06,93.87,34.67
36.17,93.33,34.67
36.28,92.8,34.67
36.4,92.27000000000001,34.67
36.5,92.27000000000001,34.67
36.62,91.72999999999999,34.67
36.73,91.2,34.67
36.84,91.2,34.67
36.95,90.67,34.67
37.05,90.67,34.67
37.17,90.67,34.67
37.27,90.13,34.67
37.38,89.6,34.67
37.49,89.6,34.67
37.61,89.07000000000001,34.67
37.72,89.07000000000001,34.67
37.82,88.53,34.67
37.94,88.53,34.67
38.06,88,34.67
38.17,88,34.67
38.28,88,34.67
38.38,87.47,34.67
38.5,86.92999999999999,34.67
38.61,86.92999999999999,35.2
38.72,86.4,35.2
38.82,85.87,35.2
38.93,84.8,35.2
39.04,84.8,35.2
39.15,84.27000000000001,35.730000000000004
39.26,83.72999999999999,36.269999999999996
39.36,83.72999999999999,36.8
39.47,83.2,37.87
39.57,82.67,38.4
39.68,82.13,39.47
39.79,81.6,41.07
39.9,81.6,41.6
40.01,81.07000000000001,43.730000000000004
40.12,80.53,45.33
40.24,80.53,46.4
40.35,80.53,49.07
40.46,81.07000000000001,51.73
40.57,81.07000000000001,52.8
40.68,81.6,55.470000000000006
40.79,82.13,57.6
40.9,82.13,59.2
41.01,83.2,61.33
41.12,84.27000000000001,62.92999999999999
41.23,85.33,64
41.34,86.92999999999999,65.6
41.44,88,66.13
41.55,89.6,66.67
41.66,91.2,66.67
41.77,91.72999999999999,67.2
41.88,92.8,66.67
41.99,93.87,66.13
42.1,94.4,65.6
42.22,95.47,64
42.33,96,62.92999999999999
42.44,96,61.870000000000005
42.55,96.53,60.8
42.66,96.53,59.73
42.77,96.53,59.2
42.88,97.07000000000001,58.129999999999995
42.99,97.07000000000001,57.07000000000001
43.1,97.07000000000001,56
43.2,97.07000000000001,55.470000000000006
43.31,97.07000000000001,54.92999999999999
43.41,97.07000000000001,53.870000000000005
43.53,97.07000000000001,52.8
43.63,97.07000000000001,52.8
43.74,97.07000000000001,51.73
43.85,96.53,51.2
43.96,96.53,50.67
44.07,96.53,50.13
44.18,96.53,49.07
44.29,96.53,49.07
44.4,96.53,48
44.51,96.53,48
44.63,96,47.47
44.74,96,46.93
44.85,96,46.4
44.96,96,45.87
45.07,95.47,45.33
45.19,95.47,45.33
45.29,96,44.8
45.4,96,44.8
45.51,95.47,44.269999999999996
45.62,95.47,43.730000000000004
45.73,95.47,43.730000000000004
45.84,95.47,43.2
45.96,95.47,42.67
46.07,95.47,42.67
46.18,95.47,42.13
46.29,95.47,42.13
46.4,94.92999999999999,41.6
46.51,94.92999999999999,41.6
46.63,94.92999999999999,41.07
46.74,94.92999999999999,41.07
46.85,94.92999999999999,41.07
46.96,94.92999999999999,40.53
47.06,94.4,40
47.17,94.4,40
47.28,94.4,39.47
47.39,94.4,39.47
47.49,93.87,38.93
47.6,93.87,38.93
47.71,93.87,38.4
47.82,93.87,37.87
47.93,93.33,37.33
48.04,93.33,37.33
48.15,92.8,36.269999999999996
48.26,92.27000000000001,34.67
48.37,92.27000000000001,34.13
48.48,91.72999999999999,32.53
48.6,91.72999999999999,30.93
48.71,91.2,29.869999999999997
48.82,90.67,28.8
48.93,90.67,27.2
49.04,91.2,26.669999999999998
49.15,90.67,25.6
49.25,91.2,25.07
49.36,91.72999999999999,25.07
49.47,92.8,24
49.58,93.33,23.47
49.69,95.47,22.93
49.79,96.53,22.93
49.91,99.2,22.93
50.01,101.87,23.47
50.13,104.53,24.53
50.24,105.6,24.53
50.35,107.72999999999999,25.07
50.46,110.4,25.07
50.58,111.47,24.53
50.69,114.13,24
50.8,116.8,23.47
50.91,117.33,22.93
51.02,118.92999999999999,22.93
51.13,121.07000000000001,22.93
51.23,122.13,23.47
51.34,124.27000000000001,25.07
51.45,125.33,25.6
51.56,128,27.73
51.68,130.67000000000002,29.330000000000002
51.79,131.73,30.4
51.9,134.4,32.53
52.01,136.53,35.2
52.12,138.67000000000002,38.4
52.23,139.73,39.47
52.34,141.32999999999998,42.67
52.45,142.4,44.269999999999996
52.56,143.47,47.47
52.67,144,50.67
52.78,144,52.27
52.89,144,56
53,143.47,59.73
53.11,142.93,61.33
53.21,141.87,65.07000000000001
53.33,141.32999999999998,66.67
53.43,139.73,70.4
53.54,138.67000000000002,73.6
53.65,138.13,77.33
53.76,137.6,78.92999999999999
53.87,137.07,82.67
53.98,136.53,84.8
54.09,135.47,88
54.2,133.32999999999998,90.13
54.31,132.27,91.2
54.42,129.6,92.8
54.52,128,93.87
54.63,124.8,94.92999999999999
54.74,122.13,97.07000000000001
54.84,121.07000000000001,97.6
54.95,118.4,99.72999999999999
55.06,117.33,100.8
55.16,115.72999999999999,102.92999999999999
55.27,114.13,105.6
55.39,113.6,106.67
55.5,112.53,109.33
55.61,111.47,112
55.73,110.92999999999999,113.07000000000001
55.84,110.4,114.67
55.95,109.33,116.27000000000001
56.06,108.27000000000001,117.33
56.17,107.72999999999999,117.87
56.27,107.2,118.4
56.39,106.13,118.92999999999999
56.5,105.6,118.92999999999999
56.61,104,117.87
56.72,103.47,117.33
56.83,101.33,115.72999999999999
56.94,100.27000000000001,113.6
57.05,99.72999999999999,112.53
57.16,98.67,109.87
57.26,98.13,107.72999999999999
57.37,98.13,106.13
57.47,98.13,103.47
57.58,97.6,101.87
57.68,97.6,99.72999999999999
57.79,97.6,98.13
57.9,98.13,96
58.01,98.67,93.33
58.12,99.2,91.72999999999999
58.22,100.27000000000001,89.6
58.33,101.33,87.47
58.44,101.87,86.4
58.55,102.92999999999999,85.33
58.66,103.47,84.8
58.77,104.53,83.72999999999999
58.88,105.6,82.67
58.99,106.67,82.13
59.09,107.72999999999999,81.07000000000001
59.2,108.8,80
59.31,109.87,79.47
59.43,110.92999999999999,78.92999999999999
59.54,112.53,77.87
59.65,113.07000000000001,77.33
59.77,114.67,76.27000000000001
59.88,115.72999999999999,75.72999999999999
59.989,117.33,75.2
